Repository,ecore,xtext,mwe2
ecefrance2015-xtext-example,NO,YES,YES
DirectXTextBlock,NO,NO,NO
xtext-apidiff,NO,NO,NO
XTextView,NO,NO,NO
xtext-maven-example,YES,YES,YES
ThriftMDE,YES,YES,NO
xtext-external-editors,NO,YES,NO
xtext-generator-vscode,YES,YES,YES
ecommerce-sample,NO,NO,NO
xTextHandler-objc,NO,NO,NO
xtext_stateful_lexer,NO,YES,YES
XtextCon_Xcore_Maven,YES,YES,YES
vim-xtext,NO,NO,YES
xtext-debug-example-no-xbase,NO,YES,YES
Xtext-XMI,YES,YES,YES
XtextPlayground,NO,YES,YES
XTExtension,NO,NO,NO
org.fuin.dsl.cqrs,YES,YES,YES
EclipseCon2013_XtextTutorial,YES,YES,YES
megal-xtext,YES,YES,YES
org.fuin.dsl.ddd,NO,YES,YES
xtext.domainmodel,YES,YES,YES
xtext-perl,YES,YES,YES
Hexa.xText,NO,NO,NO
yaktor-dsl-xtext,YES,YES,YES
org.fornax.soa.xtextservicerepository,YES,YES,YES
xtext-reflective,NO,NO,NO
xtextcon-xbase-example,YES,YES,YES
org.eclipse.scout.xtext,YES,YES,YES
xtext-languageserver-xbase-example,NO,YES,YES
deprecated-test-editor-xtext,NO,YES,YES
eclipse_1C_xtext,YES,YES,YES
fowlers-statemachine-with-expressions,YES,YES,YES
XTextExamples,YES,YES,YES
XTextView,NO,NO,NO
org.xtext.example.mydsl.idea,YES,YES,YES
isis-script,NO,YES,YES
Xtext2Workshop,NO,NO,NO
Kukuroo,YES,YES,YES
xtext-languageserver-example-lsp4e,NO,NO,NO
Xtext_Xtend_HTML_Generator,YES,YES,YES
xtext-gef,YES,YES,YES
RDL-Editor,NO,YES,YES
Guice-Modules-DSL,YES,YES,YES
jbase,YES,YES,YES
Model-driven-Pretty-Printer-for-Xtext-Framework,YES,YES,YES
xtext-dmdl-editor,YES,YES,YES
androtext,NO,YES,YES
homeautomation-example,YES,YES,YES
graphQL-xtext-grammar,NO,YES,YES
frege-xtext,NO,YES,YES
org.eclipse.e4.xcss,NO,NO,NO
xtext-scoping,YES,YES,YES
ESE-2010-Tutorial,YES,YES,YES
xtext-orion,YES,YES,YES
xtext-expressions,NO,YES,YES
Jtag,NO,YES,YES
erlide_xtext,YES,YES,YES
xtext-forum-support-example,NO,NO,NO
Langage-WHILE,YES,YES,YES
gen-angular-grammar,YES,YES,YES
tutorialXtextSirius,NO,NO,NO
amalgamation-examples,YES,YES,YES
xtext-xsd-resourceprovider,NO,NO,NO
metamath-eclipse-xtext,NO,YES,YES
Xtext-Syntax-View,NO,NO,NO
xtext-uml-experiment,NO,YES,YES
ck2xtext,YES,YES,YES
petrinet_dsl,YES,YES,YES
xtext,NO,YES,YES
Xtext-Workshop-Runtime-Workspace,NO,NO,YES
XtextXT,NO,YES,NO
xtextTessla,YES,YES,YES
xtextLearning,NO,YES,NO
XtextBDI,YES,YES,YES
XtextExperiments,YES,YES,YES
XTextSelenium,YES,YES,YES
xtextScopes,YES,YES,YES
XTextUML,YES,YES,YES
XtextUtils,NO,NO,NO
XtextApricot,YES,YES,YES
xtextTests,?,?,?
XtextLangage,NO,NO,NO
XTextParser,NO,NO,NO
XTextView,NO,NO,NO
xtextSample,NO,NO,NO
XtextExamples,YES,YES,YES
XTextStudy,YES,YES,YES
XTextTemplate,NO,YES,YES
Xtext1,YES,YES,YES
XtextExample,YES,YES,YES
xtext,NO,YES,YES
xtext-plugin-with-maven-tycho,NO,YES,YES
xtext4roo,YES,YES,YES
XtextToXMI,YES,YES,YES
XtextCon2014,NO,NO,NO
xtext-test,NO,NO,NO
xtext42-coding,?,?,?
XtextBug437519,YES,YES,YES
xText,NO,YES,YES
XtextBug453268,YES,YES,YES
XtextClosureExample,YES,YES,YES
XTextViewDemo,NO,NO,NO
XtextMyDSLExample,?,?,?
XtextTestRepository,YES,YES,YES
XtextAtStackoverflow,NO,NO,NO
XTextFieldLimtDemo,NO,NO,NO
xtext-gradle,NO,NO,NO
THESIS_XTEXT,NO,NO,NO
sandbox-dsl,YES,YES,YES
XtextFormatingHoverSample,?,?,?
XTextCustomLexerExample,YES,YES,YES
DSL_Xtext2.3,YES,YES,YES
XtextAndSiriusIntegration,YES,YES,YES
EclipseCon2014_XtextTutorial,YES,YES,YES
Xtext,NO,YES,YES
xtext,NO,YES,YES
xtext,NO,YES,YES
Xtext,NO,YES,YES
XText,NO,YES,YES
xtext,NO,YES,YES
Xtext,NO,YES,YES
xtext,NO,YES,YES
Xtext,NO,YES,YES
xtext-examples,YES,YES,YES
dag.m1x,NO,YES,YES
xtext,NO,YES,YES
com.sandy.xtext.jovenotes.tests,NO,NO,NO
Xtext,NO,YES,YES
Xtext,NO,YES,YES
de.nie.fin,YES,YES,YES
XText,NO,YES,YES
xtext,NO,YES,YES
Xtext,NO,YES,YES
xtext,NO,YES,YES
xtext.15minTutorial,NO,YES,YES
Boxes,YES,YES,YES
famix.m3x,NO,YES,YES
SimScript,NO,YES,YES
aqleditor,NO,NO,NO
2012-02-03_dsls_mit_xtext,YES,YES,YES
org.eclipse.xtext.example.domainmodel,YES,YES,YES
xtextmaven,YES,YES,YES
xtextonboost,NO,NO,NO
xtextbg,NO,NO,NO
SpinCAD-Builder,YES,YES,YES
glproto,YES,YES,YES
