Owner,Repo,Scenario
claudenirmf,TPTP-Editor,grammar-driven
augustin-rialan,IDM,metamodel-driven
henriklange,ifcBrickConvertDsl,grammar-driven
PikaQin,XModel-Code-Converter,grammar-driven
helloyaqin,XModel-Code-Converter,grammar-driven
Garlo13,CEPStaticAnalysis,grammar-driven
Frederic-Boulanger-UPS,MiniARM-feature,not applicable
Jaddison011,C4EventB,not applicable
MDEGroup,metatemplating,TBD
abdullah-4Mohammed,AWS-EC2-Service_DSL-EMF,not applicable
grammeaway,math-interpreter-dsl,not applicable
ahmedsaleh1998,concept_project,not applicable
Chaimaa-Louahabi,Model-Driven-Engineering,not applicable
fayssalElAnsari,Kotlin-Meta-Model,not applicable
MisbahAwan,SeamlessRuntimeTransformations,not applicable
ProjetoDSL,CanopusDesign,not applicable
Ryuzaki101,Workbench,not applicable
eclipse,xtext,not applicable
eclipse,xtext-core,TBD
eclipse,xtext-xtend,metamodel-driven
eclipse,xtext-eclipse,TBD
eclipse,xtext-extras,TBD
eclipse,xtext-web,grammar-driven
xtext,seven-languages-xtext,grammar-driven
eclipse,xtext-maven,not applicable
eclipse,xtext-lib,not applicable
xtext,maven-xtext-example,not applicable
seebk,LaTeXText,not applicable
cdietrich,xtext-languageserver-example,not applicable
eclipse,xtext-idea,not applicable
adamschmideg,coffeescript-eclipse,not applicable
RvonMassow,xDoc,metamodel-driven
xtext,xtext-gradle-plugin,not applicable
LorenzoBettini,packtpub-xtext-book-2nd-examples,metamodel-driven
PrinceMei,xTextHandler,not applicable
LorenzoBettini,packtpub-xtext-book-examples,grammar-driven
theia-ide,theia-xtext,grammar-driven
svenefftinge,xtext-lsp-workshop,grammar-driven
ObeoNetwork,Xtext-Sirius-integration,grammar-driven
dslmeinte,Xtext2-DSLs,not applicable
merks,Xcore,metamodel-driven
ssi-schaefer,lcdsl,grammar-driven
eclipse,xtext-umbrella,not applicable
danieldietrich,xtext-protected-regions,not applicable
xtext,xtend-gradle-plugin,not applicable
aphethean,xtext-maven-examples,not applicable
ckulla,xtext-tycho-example,not applicable
vorburger,xtext-sandbox,grammar-driven
basilfx,xtext-standalone-maven-build,grammar-driven
JakeGinnivan,XText,not applicable
OLibutzki,xtext.tools,not applicable
Xpitfire,xtext-dnn,not applicable
LorenzoBettini,Xtext2-experiments,metamodel-driven
eclipse,xsemantics,metamodel-driven
xtext,xtext-reference-projects,not applicable
mzaks,FlatBuffersSchemaEditor,grammar-driven
vorburger,eLang,not applicable
fuinorg,emt-xtext-archetype,not applicable
eclipse-soc,amalgamation-examples-xtext,not applicable
kthoms,xtext-experimental,not applicable
dsldevkit,dsl-devkit,TBD
itemis,generator-xtext,not applicable
att,yang-design-studio,TBD
martinbaker,xtextadd,grammar-driven
LorenzoBettini,edelta,metamodel-driven
sebastianbenz,xgherkin,metamodel-driven
vladdu,xtext.unittesting,grammar-driven
slizaa,slizaa-opencypher-xtext,not applicable
xpomul,cdo-xtext,metamodel-driven
mark-christiaens,Xtext-Models-Stats-View,not applicable
TypeFox,xtext-jflex,not applicable
vorburger,eclipse-typescript-xtext,not applicable
patrickneubauer,XMLText,not applicable
xtext,org.xtext.antlr.generator,not applicable
boalang,xtext-ide,not applicable
nittka,terminology,not applicable
veraPDF,veraPDF-model-syntax,not applicable
TypeFox,languageserver-example,not applicable
Hellmy,plantuml-eclipse-xtext,not applicable
stephanrauh,JSFLibraryGenerator,grammar-driven
loonwerks,jkind-xtext,grammar-driven
TatyPerson,Xtext2Sonar,not applicable
TypeFox,xtext-vscode,not applicable
svenefftinge,Xtext-Workshop-Development-Workspace,not applicable
cdietrich,xtext-uml-example,grammar-driven
cdietrich,xtext-maven-example,grammar-driven
marklemay,tptpParser,not applicable
borgar,xtexts,not applicable
uqbar-project,xtext-tortuga-lang,grammar-driven
dslmeinte,Xtext1-DSLs,not applicable
applause,applause,metamodel-driven
LorenzoBettini,ecefrance2015-xtext-example,not applicable
jcmm33,DirectXTextBlock,not applicable
dhuebner,xtext-apidiff,not applicable
appdev,XTextView,not applicable
oehme,xtext-maven-example,grammar-driven
SMadani,ThriftMDE,metamodel-driven
xtext,xtext-external-editors,not applicable
itemis,xtext-generator-vscode,grammar-driven
soluvas,ecommerce-sample,not applicable
tianguanghui,xTextHandler-objc,not applicable
meysholdt,xtext_stateful_lexer,not applicable
holgerschill,XtextCon_Xcore_Maven,TBD
scottopell,vim-xtext,not applicable
itemis,xtext-debug-example-no-xbase,not applicable
TypeFox,Xtext-XMI,metamodel-driven
joergreichert,XtextPlayground,not applicable
wuwen1030,XTExtension,not applicable
fuinorg,org.fuin.dsl.cqrs,grammar-driven
JanKoehnlein,EclipseCon2013_XtextTutorial,metamodel-driven
avaranovich,megal-xtext,metamodel-driven
fuinorg,org.fuin.dsl.ddd,not applicable
arturboronat,xtext.domainmodel,grammar-driven
otrosien,xtext-perl,grammar-driven
cmendible,Hexa.xText,not applicable
SciSpike,yaktor-dsl-xtext,metamodel-driven
andrearn,org.fornax.soa.xtextservicerepository,grammar-driven
ujhelyiz,xtext-reflective,not applicable
szarnekow,xtextcon-xbase-example,grammar-driven
bsi-software,org.eclipse.scout.xtext,metamodel-driven
cdietrich,xtext-languageserver-xbase-example,not applicable
test-editor,deprecated-test-editor-xtext,not applicable
awk-kazmin,eclipse_1C_xtext,TBD
svenefftinge,fowlers-statemachine-with-expressions,metamodel-driven
copton,XTextExamples,metamodel-driven
GeekBugs,XTextView,not applicable
akosyakov,org.xtext.example.mydsl.idea,TBD
vaulttec,isis-script,not applicable
HBehrens,Xtext2Workshop,not applicable
GrupoHunter,Kukuroo,grammar-driven
itemis,xtext-languageserver-example-lsp4e,not applicable
fatalerrortan,Xtext_Xtend_HTML_Generator,grammar-driven
spoenemann,xtext-gef,grammar-driven
Minres,RDL-Editor,not applicable
svenefftinge,Guice-Modules-DSL,metamodel-driven
LorenzoBettini,jbase,metamodel-driven
mn-mikke,Model-driven-Pretty-Printer-for-Xtext-Framework,metamodel-driven
hishidama,xtext-dmdl-editor,metamodel-driven
cmark,androtext,not applicable
svenefftinge,homeautomation-example,grammar-driven
SOM-Research,graphQL-xtext-grammar,not applicable
janesser,frege-xtext,not applicable
szarnekow,org.eclipse.e4.xcss,not applicable
LorenzoBettini,xtext-scoping,metamodel-driven
JanKoehnlein,ESE-2010-Tutorial,metamodel-driven
spoenemann,xtext-orion,grammar-driven
Modaptix,xtext-expressions,metamodel-driven
nittka,Jtag,not applicable
erlide,erlide_xtext,metamodel-driven
cdietrich,xtext-forum-support-example,not applicable
ESIR2Compilation,Langage-WHILE,grammar-driven
jhonatan89,gen-angular-grammar,grammar-driven
Sofiane-13,tutorialXtextSirius,not applicable
eclipse-soc,amalgamation-examples,metamodel-driven
dvdkruk,xtext-xsd-resourceprovider,not applicable
marnix,metamath-eclipse-xtext,not applicable
JanKoehnlein,Xtext-Syntax-View,not applicable
planger,xtext-uml-experiment,not applicable
rquinio,ck2xtext,grammar-driven
mzaks,petrinet_dsl,metamodel-driven
drnappalm,xtext,grammar-driven
svenefftinge,Xtext-Workshop-Runtime-Workspace,not applicable
martijndwars,XtextXT,not applicable
nahni,xtextTessla,grammar-driven
baidty,xtextLearning,not applicable
MoayadHn,XtextBDI,grammar-driven
fzalila,XtextExperiments,grammar-driven
Girish-Venkatesh,XTextSelenium,grammar-driven
Vinayakatk,xtextScopes,grammar-driven
01Lizard10,XTextUML,grammar-driven
Salome-Maro,XtextUtils,not applicable
fanghuixing,XtextApricot,grammar-driven
