Owner,Repo,XText File,Commit Count
RobMoloney,xtext,null,null
l1ppe,xtext,src/org/xtext/example/mydsl/Festivals.xtext,1
tchebs,xtext,org.xtext.example.entitydsl/bin/org/xtext/example/mydsl/EntityDsl.xtext,1
tchebs,xtext,org.xtext.example.entitydsl/src/org/xtext/example/mydsl/EntityDsl.xtext,1
mlopez8621,xtext,org.xtext.example.rest/bin/org/xtext/example/mydsl/Rest.xtext,2
mlopez8621,xtext,org.xtext.example.rest/src/org/xtext/example/mydsl/Rest.xtext,2
magick93,xtext,org.domaindriven.dsl.parent/org.domaindriven.dsl/src/main/java/org/domaindriven/dsl/Ddd.xtext,1
magick93,xtext,org.domaindriven.dsl.parent/org.domaindriven.dsl/target/classes/org/domaindriven/dsl/Ddd.xtext,1
magick93,xtext,org.domaindriven.model.dsl.parent/org.domaindriven.model.dsl/src/main/java/org/domaindriven/model/dsl/Ddd.xtext,1
magick93,xtext,org.domaindriven.model.dsl.parent/org.domaindriven.model.dsl/target/classes/org/domaindriven/model/dsl/Ddd.xtext,1
ShivaniBali,Theia-Xtext-Yangster-Project-,xtext-dsl-language-server/io.typefox.xtext.langserver.example/src/main/java/io/typefox/xtext/langserver/example/MyDsl.xtext,1
MISO4202,co.edu.uniandes.gramaticajmeter,co.edu.uniandes.gramaticajmeter/bin/co/edu/uniandes/Gramaticajmeter.xtext,1
MISO4202,co.edu.uniandes.gramaticajmeter,co.edu.uniandes.gramaticajmeter/src/co/edu/uniandes/Gramaticajmeter.xtext,1
vks2106,prenum,null,null
drkstr101,hello-xtext,drkstr.hello.xtext.natural.core/src/drkstr/hello/xtext/natural/core/Natural.xtext,13
drkstr101,hello-xtext,drkstr.hello.xtext.words.parent/drkstr.hello.xtext.words/src/drkstr/hello/xtext/words/Words.xtext,1
AlanQuadros,xtextlpmangan,org.xtext.example.typescript/bin/org/xtext/example/tsc/TypeScript.xtext,4
AlanQuadros,xtextlpmangan,org.xtext.example.typescript/src/org/xtext/example/tsc/TypeScript.xtext,4
jonaslagoni,JSON-Schema-to-internal-DSL,org.xtext.json.schema/src/org/xtext/json/schema/Draft7.xtext,8
OezzyB,e-portfolio-Xtext,Methods.xtext,1
OezzyB,e-portfolio-Xtext,org.example.methods/bin/org/example/methods/Methods.xtext,1
OezzyB,e-portfolio-Xtext,org.example.methods/src/org/example/methods/Methods.xtext,1
fedorov-vk,apds_dsl,null,null
mustafa231,xtexteditor,null,null
MOSafely,xtextrepo,null,null
bproenca,mpti-dsl,br.edu.ufrn.myhtml/bin/br/edu/ufrn/myhtml/HtmlModel.xtext,3
bproenca,mpti-dsl,br.edu.ufrn.myhtml/src/br/edu/ufrn/myhtml/HtmlModel.xtext,3
LorenzoBettini,xtext-domain-model-guice-5,org.eclipse.xtext.example.domainmodel/src/org/eclipse/xtext/example/domainmodel/Domainmodel.xtext,1
vashchenkov,xtext-samle,dsl/src/ru/iqsocial/PublicDsl.xtext,1
germono,FormXtext,oliv.form.xtext.dsl/src/oliv/form/xtext/Dsl.xtext,1
Quingo,compiler_xtext,org.qdt.quingo.parent/org.qdt.quingo/src/org/qdt/quingo/Quingo.xtext,3
ShrawanBK,xtext_salestransaction,null,null
tshoang,XMarking,ac.soton.xmark.feedback/src/ac/soton/xmark/feedback/Feedback.xtext,1
tshoang,XMarking,ac.soton.xmark.marking/src/ac/soton/xmark/marking/XMarking.xtext,2
hakimuga,BIP-language,null,null
adautofbn,pascal-xtext,edu.ufcg.compiladores.pascal/src/edu/ufcg/compiladores/pascal/Pascal.xtext,4
adautofbn,pascal-xtext,edu.ufcg.compiladores.pascal/target/classes/edu/ufcg/compiladores/pascal/Pascal.xtext,4
efuentesp,Xtext-UCS,com/softtek/uc/Ucs.xtext,2
preesm,ripacola-xtext,org.ripacola.parent/org.ripacola/src/org/ripacola/lang/Ripacola.xtext,2
wibeck,testXtext,org.xtext.example.mydsl/bin/org/xtext/example/mydsl/MyDsl.xtext,1
wibeck,testXtext,org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext,1
msun68,xtext-examples,org.example.rules/src/org/example/rules/Rules.xtext,1
xTexturedxx,xTexturedxx,null,null
HexXText,HexXText,null,null
Gricel-lee,Xtext-Maven,null,null
kolchanov,org.xtext.example.mydsl.parent,org.xtext.example.mydsl/bin/main/org/xtext/example/mydsl/MyDsl.xtext,3
kolchanov,org.xtext.example.mydsl.parent,org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext,3
kecksk0enig,vuc-xtext,de.grewe.vuc/src/de/grewe/vuc/Mgpl.xtext,3
EvdokimovMaks,xtext-expressions,org.example.expressions/src/org/example/expressions/Expressions.xtext,1
uppaal-emf,uppaal-xtext,null,null
matheuslenke,Xtext-UML,null,null
r4mtor,xtext-talks,kurs.xtext.dataflow.parent/kurs.xtext.dataflow/src/kurs/xtext/dataflow/DataFlowDsl.xtext,3
nbhusare,xtext-playground,org.eclipse.xtext.playground/org.eclipse.xtext.testing/org.xtext.example.modeldsl/bin/org/xtext/example/modeldsl/ModelDsl.xtext,1
nbhusare,xtext-playground,org.eclipse.xtext.playground/org.eclipse.xtext.testing/org.xtext.example.modeldsl/src/org/xtext/example/modeldsl/ModelDsl.xtext,1
nbhusare,xtext-playground,org.eclipse.xtext.playground/org.eclipse.xtext.testing/org.xtext.example.modeldsl/target/classes/org/xtext/example/modeldsl/ModelDsl.xtext,1
nbhusare,xtext-playground,org.eclipse.xtext.playground/org.eclipse.xtext.testing/org.xtext.example.uidsl/bin/org/xtext/example/uidsl/UiDsl.xtext,1
nbhusare,xtext-playground,org.eclipse.xtext.playground/org.eclipse.xtext.testing/org.xtext.example.uidsl/src/org/xtext/example/uidsl/UiDsl.xtext,1
nbhusare,xtext-playground,org.eclipse.xtext.playground/org.eclipse.xtext.testing/org.xtext.example.uidsl/target/classes/org/xtext/example/uidsl/UiDsl.xtext,1
kokostino,xtext_kokomodel,null,null
GiordanoT,ocl-xtext,org.xtext.ocl.parent/org.xtext.ocl/src/org/xtext/ocl/Ocl.xtext,1
GiordanoT,ocl-xtext,org.xtext.ocl.parent/org.xtext.ocl/target/classes/org/xtext/ocl/Ocl.xtext,1
dr-jam,ABL-XText,null,null
lahirugayanga,xtext-projection,com.ifs.lang.projection/bin/main/com/ifs/lang/projection/ProjectionLang.xtext,1
lahirugayanga,xtext-projection,com.ifs.lang.projection/src/main/java/com/ifs/lang/projection/ProjectionLang.xtext,1
daniel614,xtext-webapp,org.xtext.example.wappm/bin/org/xtext/example/wappm/Wappm.xtext,5
daniel614,xtext-webapp,org.xtext.example.wappm/src/org/xtext/example/wappm/Wappm.xtext,5
Spiderixius,DSLIndividualXtext,com.metagamedsl/src/com/metagamedsl/MetaGameLanguage.xtext,3
mdsd-team-1,photos-xtext,org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext,9
efuentesp,xtext-cobol,src/com/softtek/analyzer/cobol/Cobol.xtext,25
