Owner Login,Repo Name,XText File Count
eclipse,xtext-lib,0
xtext,maven-xtext-example,1
seebk,LaTeXText,0
cdietrich,xtext-languageserver-example,1
eclipse,xtext-idea,0
adamschmideg,coffeescript-eclipse,3
RvonMassow,xDoc,1
xtext,xtext-gradle-plugin,0
LorenzoBettini,packtpub-xtext-book-2nd-examples,11
PrinceMei,xTextHandler,0
LorenzoBettini,packtpub-xtext-book-examples,6
theia-ide,theia-xtext,1
svenefftinge,xtext-lsp-workshop,1
ObeoNetwork,Xtext-Sirius-integration,1
dslmeinte,Xtext2-DSLs,16
merks,Xcore,1
ssi-schaefer,lcdsl,1
eclipse,xtext-umbrella,0
danieldietrich,xtext-protected-regions,0
xtext,xtend-gradle-plugin,0
aphethean,xtext-maven-examples,1
ckulla,xtext-tycho-example,1
vorburger,xtext-sandbox,15
basilfx,xtext-standalone-maven-build,1
JakeGinnivan,XText,0
OLibutzki,xtext.tools,0
Xpitfire,xtext-dnn,1
LorenzoBettini,Xtext2-experiments,5
eclipse,xsemantics,5
xtext,xtext-reference-projects,151
mzaks,FlatBuffersSchemaEditor,1
vorburger,eLang,1
fuinorg,emt-xtext-archetype,1
eclipse-soc,amalgamation-examples-xtext,1
kthoms,xtext-experimental,0
dsldevkit,dsl-devkit,15
itemis,generator-xtext,1
att,yang-design-studio,2
martinbaker,xtextadd,9
LorenzoBettini,edelta,1
sebastianbenz,xgherkin,1
vladdu,xtext.unittesting,1
slizaa,slizaa-opencypher-xtext,1
xpomul,cdo-xtext,1
mark-christiaens,Xtext-Models-Stats-View,0
TypeFox,xtext-jflex,0
vorburger,eclipse-typescript-xtext,1
patrickneubauer,XMLText,0
xtext,org.xtext.antlr.generator,0
boalang,xtext-ide,1
nittka,terminology,1
veraPDF,veraPDF-model-syntax,1
TypeFox,languageserver-example,1
Hellmy,plantuml-eclipse-xtext,1
stephanrauh,JSFLibraryGenerator,1
loonwerks,jkind-xtext,1
TatyPerson,Xtext2Sonar,0
TypeFox,xtext-vscode,1
svenefftinge,Xtext-Workshop-Development-Workspace,1
cdietrich,xtext-uml-example,1
cdietrich,xtext-maven-example,1
marklemay,tptpParser,2
borgar,xtexts,0
uqbar-project,xtext-tortuga-lang,2
dslmeinte,Xtext1-DSLs,13
applause,applause,1
LorenzoBettini,ecefrance2015-xtext-example,1
jcmm33,DirectXTextBlock,0
dhuebner,xtext-apidiff,0
appdev,XTextView,0
oehme,xtext-maven-example,3
SMadani,ThriftMDE,1
xtext,xtext-external-editors,1
itemis,xtext-generator-vscode,1
soluvas,ecommerce-sample,0
tianguanghui,xTextHandler-objc,0
meysholdt,xtext_stateful_lexer,1
holgerschill,XtextCon_Xcore_Maven,2
scottopell,vim-xtext,0
itemis,xtext-debug-example-no-xbase,1
TypeFox,Xtext-XMI,1
joergreichert,XtextPlayground,1
