Repo Owner,Repo Name,XText File Path
adautofbn,pascal-xtext,edu.ufcg.compiladores.pascal/src/edu/ufcg/compiladores/pascal/Pascal.xtext
adautofbn,pascal-xtext,edu.ufcg.compiladores.pascal/target/classes/edu/ufcg/compiladores/pascal/Pascal.xtext
efuentesp,Xtext-UCS,com/softtek/uc/Ucs.xtext
preesm,ripacola-xtext,org.ripacola.parent/org.ripacola/src/org/ripacola/lang/Ripacola.xtext
wibeck,testXtext,org.xtext.example.mydsl/bin/org/xtext/example/mydsl/MyDsl.xtext
wibeck,testXtext,org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext
msun68,xtext-examples,org.example.rules/src/org/example/rules/Rules.xtext
kolchanov,org.xtext.example.mydsl.parent,org.xtext.example.mydsl/bin/main/org/xtext/example/mydsl/MyDsl.xtext
kolchanov,org.xtext.example.mydsl.parent,org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext
kecksk0enig,vuc-xtext,de.grewe.vuc/src/de/grewe/vuc/Mgpl.xtext
EvdokimovMaks,xtext-expressions,org.example.expressions/src/org/example/expressions/Expressions.xtext
r4mtor,xtext-talks,kurs.xtext.dataflow.parent/kurs.xtext.dataflow/src/kurs/xtext/dataflow/DataFlowDsl.xtext
nbhusare,xtext-playground,org.eclipse.xtext.playground/org.eclipse.xtext.testing/org.xtext.example.modeldsl/bin/org/xtext/example/modeldsl/ModelDsl.xtext
nbhusare,xtext-playground,org.eclipse.xtext.playground/org.eclipse.xtext.testing/org.xtext.example.modeldsl/src/org/xtext/example/modeldsl/ModelDsl.xtext
nbhusare,xtext-playground,org.eclipse.xtext.playground/org.eclipse.xtext.testing/org.xtext.example.modeldsl/target/classes/org/xtext/example/modeldsl/ModelDsl.xtext
nbhusare,xtext-playground,org.eclipse.xtext.playground/org.eclipse.xtext.testing/org.xtext.example.uidsl/bin/org/xtext/example/uidsl/UiDsl.xtext
nbhusare,xtext-playground,org.eclipse.xtext.playground/org.eclipse.xtext.testing/org.xtext.example.uidsl/src/org/xtext/example/uidsl/UiDsl.xtext
nbhusare,xtext-playground,org.eclipse.xtext.playground/org.eclipse.xtext.testing/org.xtext.example.uidsl/target/classes/org/xtext/example/uidsl/UiDsl.xtext
GiordanoT,ocl-xtext,org.xtext.ocl.parent/org.xtext.ocl/src/org/xtext/ocl/Ocl.xtext
GiordanoT,ocl-xtext,org.xtext.ocl.parent/org.xtext.ocl/target/classes/org/xtext/ocl/Ocl.xtext
lahirugayanga,xtext-projection,com.ifs.lang.projection/bin/main/com/ifs/lang/projection/ProjectionLang.xtext
lahirugayanga,xtext-projection,com.ifs.lang.projection/src/main/java/com/ifs/lang/projection/ProjectionLang.xtext
daniel614,xtext-webapp,org.xtext.example.wappm/bin/org/xtext/example/wappm/Wappm.xtext
daniel614,xtext-webapp,org.xtext.example.wappm/src/org/xtext/example/wappm/Wappm.xtext
Spiderixius,DSLIndividualXtext,com.metagamedsl/src/com/metagamedsl/MetaGameLanguage.xtext
mdsd-team-1,photos-xtext,org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext
efuentesp,xtext-cobol,src/com/softtek/analyzer/cobol/Cobol.xtext
MaxiEckert,Xtext-example,masterarbeit_workspace_xtext/org.xtext.example.mydsl2/bin/org/xtext/example/mydsl2/MyDsl.xtext
MaxiEckert,Xtext-example,masterarbeit_workspace_xtext/org.xtext.example.mydsl2/src/org/xtext/example/mydsl2/MyDsl.xtext
vjordan,Xtext_browser,org.xtext.browser.mydsl/bin/org/xtext/browser/mydsl/MyDsl.xtext
vjordan,Xtext_browser,org.xtext.browser.mydsl/src/org/xtext/browser/mydsl/MyDsl.xtext
Yop-La,xtext_project,src/org/xtext/example/mydsl/Mml.xtext
JesterOrNot,Gitpod-XText,org.xtext.hello/src/main/java/org/xtext/example/hello/HelloLanguage.xtext
DSIE2,tr.xtext,org.upct.tr/src/org/upct/tr/TR.xtext
ShivaniBali,Theia-Xtext,org.xtext.example.mydsl.parent/org.xtext.example.mydsl/bin/org/xtext/example/mydsl/MyDsl.xtext
ShivaniBali,Theia-Xtext,org.xtext.example.mydsl.parent/org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext
christopherosthues,mgpl-xtext,org.xtext.vuc.mgpl/src/org/xtext/vuc/mgpl/MGPL.xtext
zhanglin2018,learnXtext,org.example.entities.parent/org.example.entities/bin/org/example/entities/Entities.xtext
zhanglin2018,learnXtext,org.example.entities.parent/org.example.entities/src/org/example/entities/Entities.xtext
zhanglin2018,learnXtext,org.xtext.example.mydsl.parent/org.xtext.example.mydsl/bin/org/xtext/example/mydsl/MyDsl.xtext
zhanglin2018,learnXtext,org.xtext.example.mydsl.parent/org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext
seebgar,Xtext-Projects,org.xtext.example.ceffective/bin/org/xtext/example/ceffective/Ceffective.xtext
seebgar,Xtext-Projects,org.xtext.example.ceffective/src/org/xtext/example/ceffective/Ceffective.xtext
blue995,xtext-orm,de.tobias_blaufuss.persistence/src/de/tobias_blaufuss/persistence/Persistence.xtext
arockiaraj1994,xtext-mvn,org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext
arockiaraj1994,xtext-mvn,org.xtext.example.mydsl/target/classes/org/xtext/example/mydsl/MyDsl.xtext
Somiacao,xtext-web,org.xtext.example.mydsl.parent/org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext
AssaX0,MDSE-xtext,eclipse-workspace/org.example.domainmodel/src/org/example/domainmodel/Domainmodel.xtext
