Repository,ecore_count,result
XtextExample,1,Grammar-Driven
xtext,0,null
xtext-plugin-with-maven-tycho,0,null
xtext4roo,1,Metamodel-Driven
XtextToXMI,2,Grammar-Driven
XtextCon2014,0,null
xtext-test,0,null
xtext42-coding,0,null
XtextBug437519,1,Grammar-Driven
xText,0,null
XtextBug453268,1,Grammar-Driven
XtextClosureExample,1,Metamodel-Driven
XTextViewDemo,0,null
XtextMyDSLExample,0,null
XtextTestRepository,1,Grammar-Driven
XtextAtStackoverflow,0,null
XTextFieldLimtDemo,0,null
xtext-gradle,0,null
THESIS_XTEXT,0,null
sandbox-dsl,1,Metamodel-Driven
XtextFormatingHoverSample,0,null
XTextCustomLexerExample,1,Metamodel-Driven
DSL_Xtext2.3,1,Metamodel-Driven
XtextAndSiriusIntegration,1,Grammar-Driven
EclipseCon2014_XtextTutorial,1,Grammar-Driven
Xtext,0,null
xtext,0,null
xtext,0,null
Xtext,0,null
XText,0,null
xtext,0,null
Xtext,0,null
xtext,0,null
Xtext,0,null
xtext-examples,1,Grammar-Driven
dag.m1x,0,null
xtext,0,null
com.sandy.xtext.jovenotes.tests,0,null
Xtext,0,null
Xtext,0,null
de.nie.fin,2,Metamodel-Driven
XText,0,null
xtext,0,null
Xtext,0,null
xtext,0,null
xtext.15minTutorial,0,null
Boxes,1,Metamodel-Driven
famix.m3x,0,null
SimScript,0,null
aqleditor,0,null
2012-02-03_dsls_mit_xtext,4,Metamodel-Driven
org.eclipse.xtext.example.domainmodel,1,Grammar-Driven
xtextmaven,1,Grammar-Driven
xtextonboost,0,null
xtextbg,0,null
SpinCAD-Builder,2,Grammar-Driven
glproto,1,Metamodel-Driven
dag.m1x.tests,0,null
xtext-sm,1,Metamodel-Driven
php.ware.web.ui,0,null
xtextext,0,null
xtextfsm,1,Grammar-Driven
dag.m1x.sdk,0,null
xmodelica,1,Grammar-Driven
xtextgeneratetest,0,null
com.sandy.xtext.jovenotes,1,Grammar-Driven
dag.m1x.ui,0,null
viatra-evm-xtext,1,Grammar-Driven
ReqText,1,Grammar-Driven
e4dsl,1,Metamodel-Driven
Xtext.Promo,1,Grammar-Driven
myDsl,1,Grammar-Driven
org.eclipse.xtext.example.arithmetics,0,null
textual_verduler,0,null
examplextext,0,null
famix.m3x.ui,0,null
sialx-xtext-ide,0,null
DomainModel,1,Grammar-Driven
SmallJava,0,null
de.htwg.mdse.setgame.entities.parent,1,Grammar-Driven
x-vhdl,1,Metamodel-Driven
famix.m3x.tests,0,null
CalcXtext,0,null
xtext_examples,0,null
xtext-lib,0,null
atom-xtext-package,0,null
bpel-xtext,4,Metamodel-Driven
xtext-sandbox,4,Grammar-Driven
xtext-whitespace,0,null
claseXtext,2,Metamodel-Driven
famix.m3x.sdk,0,null
xtext-composition,2,Grammar-Driven
xtext-javatools,0,null
ontouml-xtext,0,null
codebuilder-xtext,0,null
xtext-utils,0,null
xtext-debug,2,Grammar-Driven
Xtext-sandbox,4,Grammar-Driven
xtext-grammars,0,null
XTEXT_EXAMPLE,6,Grammar-Driven
monaco-xtext,0,null
xtext-demo,1,Grammar-Driven
picobot-XText,0,null
Xtext-Light,0,null
libXtextcursorchanger,0,null
GrammaireXtext,0,null
xtext_project,1,Grammar-Driven
xtext_project,1,Grammar-Driven
xtext-xgen,2,TBD
xtext-typesystem,1,Metamodel-Driven
xtext-demo,1,Grammar-Driven
xtext.example,1,Grammar-Driven
xtext-typesystem,1,Metamodel-Driven
ppXtext,0,null
xtext_practice,1,Grammar-Driven
Xtext-Examples,1,Grammar-Driven
Xtext-examples,1,Grammar-Driven
runtime-Xtext,0,null
language-xtext,0,null
sll-xtext,1,Grammar-Driven
Xtext_test,1,Grammar-Driven
xtext-typesystem,1,Metamodel-Driven
xtext-utils,0,null
xtext-workshop,0,null
ng-xtext,0,null
MGPL-Xtext,0,null
gradle-xtext,0,null
Xtend_Xtext,1,Grammar-Driven
Convert-XText,0,null
xtext_eclipse,0,null
xtext-technocat,1,Grammar-Driven
xtext-xtestgen,1,Grammar-Driven
selenium-xtext,1,Grammar-Driven
modelica-xtext,1,Grammar-Driven
firewall-xtext,0,null
JSEditorXtext,1,Grammar-Driven
paplj-xtext,1,Grammar-Driven
xtext-sublime,0,null
thicket-xtext,1,Grammar-Driven
xtext-web,0,null
xtext-dropwizard,0,null
xtext-menetrend,1,Grammar-Driven
xtext-utils,0,null
xtext_utils,0,null
xtext-fsml,2,Grammar-Driven
xtext-json,0,null
xtext-utils,0,null
xtext-issues,0,null
xtext-lexertrace,1,Grammar-Driven
Tcc,0,null
lime-xtext,0,null
xtext-recordmapper,1,Metamodel-Driven
wwf-xtext,0,null
XText-maven,1,Grammar-Driven
XText.scptd,0,null
mgpl_xtext,0,null
xtext-workshop,0,null
org.xtext.example.mde,0,null
XActiv,1,Metamodel-Driven
webcalc,0,null
skysail-prototypr-dsl,1,Grammar-Driven
certware-l-editor,2,Grammar-Driven
casualintellect_new_wizard,1,Grammar-Driven
org.xtext.amodel,1,Grammar-Driven
SiteWeb_XText,1,Metamodel-Driven
hackcamp-xtext-automotivebus,1,Grammar-Driven
xtext.scoping.adventures,1,Grammar-Driven
bonaparte-apidsl,0,null
yacc-ide,0,null
xtext-bug-436688,1,Grammar-Driven
xtext-builddsl-tycho,0,null
lwc13-xtext,0,null
xtext-utils.uml,0,null
xtext-forms-integration,3,Metamodel-Driven
xtext-restriction-framework,1,Metamodel-Driven
xtext-utils.devenv,0,null
xtext-utils.xtend,0,null
xtext-jaxcon-example,1,Grammar-Driven
xtext-demo-laquila,1,Grammar-Driven
xtext-iris-datalog,0,null
rezept-dsl.xtext,1,Grammar-Driven
xtext-utils.unittesting,1,Metamodel-Driven
xtext-utils.distribution,0,null
htwg-cform-xtext,0,null
xtext-example-conplan,0,null
Xtext-Buckminster-Example,1,Metamodel-Driven
xtextcon-typesystem-example,0,null
org.xtext.example.tycho,2,Metamodel-Driven
eclipse-orbit_xtext-web,2,Grammar-Driven
xtext_language_bla,1,Grammar-Driven
xtext-req-editor,1,Grammar-Driven
atom-xtext-autocomplete,0,null
xtext-formatter-problem,0,null
xtext-utils.distribution,0,null
XText_TeSSLa,1,Grammar-Driven
booster2-xtext,0,null
xtext-splitted-repo,27,TBD
xtext-utils.uml,0,null
xtext-utils.xtend,0,null
xtext-forms-integration,3,Metamodel-Driven
fxdiagram-xtext-examples,2,Grammar-Driven
openair,1,Metamodel-Driven
xtext-typing-example,2,Metamodel-Driven
xtext-utils.xtend,0,null
xtext-ocl-extensions,2,Metamodel-Driven
xtext-utils.distribution,0,null
mcrl2.xtext,2,Grammar-Driven
rsbac.xtext.dsl,0,null
jug-zgora-xtext,1,Grammar-Driven
xtext-utils.devenv,0,null
devoxx2012-xtext,2,Metamodel-Driven
xText_Practice,1,Grammar-Driven
xTextEdit,0,null
xtext-utils.unittesting,1,Metamodel-Driven
xtext-forms-integration,3,Metamodel-Driven
xtext-forms-integration,3,Metamodel-Driven
xtext-monaco-example,0,null
xtext-ci-test,0,null
plantuml-xtext-light,0,null
xtext-utils.unittesting,1,Metamodel-Driven
xtext-index-experiments,1,Metamodel-Driven
xtext-utils.devenv,0,null
xtext-gradle-demo,0,null
xtext-multi-dsl,1,Metamodel-Driven
dmss.pouex.xtext,0,null
lunifera-xtext-runtimebuilder,1,Grammar-Driven
xtext-forms-integration,3,Metamodel-Driven
xtext-forms-integration,3,Metamodel-Driven
xtext-utils.uml,0,null
dbFactoryXtext,0,null
lwc13-xtext,0,null
if4150-xtext,0,null
acse-xtext-validation,1,Grammar-Driven
