mzaks,FlatBuffersSchemaEditor,0,0,0
vorburger,eLang,0,0,0
fuinorg,emt-xtext-archetype,0,0,0
eclipse-soc,amalgamation-examples-xtext,1,1,1.0
kthoms,xtext-experimental,0,0,0
dsldevkit,dsl-devkit,8,8,1.0
itemis,generator-xtext,0,0,0
att,yang-design-studio,1,1,1.0
martinbaker,xtextadd,0,0,0
LorenzoBettini,edelta,43,311,7.23
sebastianbenz,xgherkin,4,4,1.0
vladdu,xtext.unittesting,3,6,2.0
slizaa,slizaa-opencypher-xtext,0,0,0
xpomul,cdo-xtext,0,0,0
mark-christiaens,Xtext-Models-Stats-View,0,0,0
TypeFox,xtext-jflex,0,0,0
vorburger,eclipse-typescript-xtext,7,13,1.86
patrickneubauer,XMLText,0,0,0
xtext,org.xtext.antlr.generator,0,0,0
boalang,xtext-ide,0,0,0
nittka,terminology,6,7,1.17
veraPDF,veraPDF-model-syntax,0,0,0
TypeFox,languageserver-example,0,0,0
Hellmy,plantuml-eclipse-xtext,0,0,0
stephanrauh,JSFLibraryGenerator,1,16,16.0
loonwerks,jkind-xtext,0,0,0
TatyPerson,Xtext2Sonar,0,0,0
TypeFox,xtext-vscode,0,0,0
svenefftinge,Xtext-Workshop-Development-Workspace,0,0,0
cdietrich,xtext-uml-example,0,0,0
cdietrich,xtext-maven-example,1,1,1.0
marklemay,tptpParser,0,0,0
borgar,xtexts,0,0,0
uqbar-project,xtext-tortuga-lang,0,0,0
dslmeinte,Xtext1-DSLs,5,7,1.4
applause,applause,0,0,0
LorenzoBettini,ecefrance2015-xtext-example,0,0,0
jcmm33,DirectXTextBlock,0,0,0
dhuebner,xtext-apidiff,0,0,0
appdev,XTextView,0,0,0
oehme,xtext-maven-example,2,2,1.0
SMadani,ThriftMDE,0,0,0
xtext,xtext-external-editors,0,0,0
itemis,xtext-generator-vscode,0,0,0
soluvas,ecommerce-sample,0,0,0
tianguanghui,xTextHandler-objc,0,0,0
meysholdt,xtext_stateful_lexer,0,0,0
holgerschill,XtextCon_Xcore_Maven,0,0,0
scottopell,vim-xtext,0,0,0
itemis,xtext-debug-example-no-xbase,0,0,0
TypeFox,Xtext-XMI,0,0,0
joergreichert,XtextPlayground,1,2,2.0
wuwen1030,XTExtension,0,0,0
fuinorg,org.fuin.dsl.cqrs,1,2,2.0
JanKoehnlein,EclipseCon2013_XtextTutorial,3,5,1.67
avaranovich,megal-xtext,21,134,6.38
fuinorg,org.fuin.dsl.ddd,24,62,2.58
arturboronat,xtext.domainmodel,1,1,1.0
otrosien,xtext-perl,0,0,0
cmendible,Hexa.xText,0,0,0
SciSpike,yaktor-dsl-xtext,5,16,3.2
andrearn,org.fornax.soa.xtextservicerepository,50,112,2.24
ujhelyiz,xtext-reflective,0,0,0
szarnekow,xtextcon-xbase-example,2,5,2.5
bsi-software,org.eclipse.scout.xtext,7,29,4.14
cdietrich,xtext-languageserver-xbase-example,2,3,1.5
test-editor,deprecated-test-editor-xtext,21,146,6.95
awk-kazmin,eclipse_1C_xtext,0,0,0
svenefftinge,fowlers-statemachine-with-expressions,0,0,0
copton,XTextExamples,3,5,1.67
GeekBugs,XTextView,0,0,0
akosyakov,org.xtext.example.mydsl.idea,7,7,1.0
vaulttec,isis-script,4,12,3.0
HBehrens,Xtext2Workshop,0,0,0
GrupoHunter,Kukuroo,0,0,0
itemis,xtext-languageserver-example-lsp4e,0,0,0
fatalerrortan,Xtext_Xtend_HTML_Generator,2,6,3.0
spoenemann,xtext-gef,0,0,0
Minres,RDL-Editor,0,0,0
svenefftinge,Guice-Modules-DSL,0,0,0
LorenzoBettini,jbase,7,7,1.0
mn-mikke,Model-driven-Pretty-Printer-for-Xtext-Framework,103,103,1.0
hishidama,xtext-dmdl-editor,0,0,0
cmark,androtext,21,82,3.9
svenefftinge,homeautomation-example,0,0,0
SOM-Research,graphQL-xtext-grammar,1,1,1.0
janesser,frege-xtext,1,1,1.0
szarnekow,org.eclipse.e4.xcss,0,0,0
LorenzoBettini,xtext-scoping,0,0,0
JanKoehnlein,ESE-2010-Tutorial,0,0,0
spoenemann,xtext-orion,0,0,0
Modaptix,xtext-expressions,0,0,0
nittka,Jtag,6,6,1.0
erlide,erlide_xtext,6,6,1.0
cdietrich,xtext-forum-support-example,0,0,0
ESIR2Compilation,Langage-WHILE,12,15,1.25
jhonatan89,gen-angular-grammar,7,14,2.0
Sofiane-13,tutorialXtextSirius,0,0,0
eclipse-soc,amalgamation-examples,7,18,2.57
dvdkruk,xtext-xsd-resourceprovider,0,0,0
marnix,metamath-eclipse-xtext,4,6,1.5
JanKoehnlein,Xtext-Syntax-View,0,0,0
planger,xtext-uml-experiment,0,0,0
rquinio,ck2xtext,28,29,1.04
mzaks,petrinet_dsl,0,0,0
drnappalm,xtext,5,7,1.4
svenefftinge,Xtext-Workshop-Runtime-Workspace,10,10,1.0
martijndwars,XtextXT,0,0,0
nahni,xtextTessla,0,0,0
baidty,xtextLearning,0,0,0
MoayadHn,XtextBDI,0,0,0
fzalila,XtextExperiments,0,0,0
Girish-Venkatesh,XTextSelenium,0,0,0
Vinayakatk,xtextScopes,0,0,0
01Lizard10,XTextUML,1,1,1.0
Salome-Maro,XtextUtils,0,0,0
fanghuixing,XtextApricot,0,0,0
mraminella,xtextTests,0,0,0
Alma2015RSABSAWA,XtextLangage,0,0,0
myorb,XTextParser,0,0,0
Jhinnn,XTextView,0,0,0
kathisai,xtextSample,0,0,0
huibo-shi,XtextExamples,0,0,0
osamu-k,XTextStudy,0,0,0
Treehopper,XTextTemplate,0,0,0
seba111,Xtext1,0,0,0
shinesamjacob,XtextExample,0,0,0
ajperalt,xtext,0,0,0
schakko,xtext-plugin-with-maven-tycho,0,0,0
colameo,xtext4roo,0,0,0
vinpereira,XtextToXMI,0,0,0
JanKoehnlein,XtextCon2014,0,0,0
bink81,xtext-test,0,0,0
xtext42,xtext42-coding,0,0,0
borisbrodski,XtextBug437519,0,0,0
hypery2k,xText,0,0,0
borisbrodski,XtextBug453268,0,0,0
arnulfo-rodriguez,XtextClosureExample,2,8,4.0
superxlx,XTextViewDemo,0,0,0
johnBened,XtextMyDSLExample,0,0,0
philiber92,XtextTestRepository,0,0,0
fabienfleureau,XtextAtStackoverflow,0,0,0
yunxiaocloud,XTextFieldLimtDemo,0,0,0
eclipse,xtext-gradle,0,0,0
Mensmec,THESIS_XTEXT,0,0,0
