owner,repo,average_difference
DECENTSoftwareAssessment,famix.m3x.tests,0
nkonev,CalcXtext,0.0
meysholdt,xtext_examples,0.0
manuelleduc,xtext-lib,0
xarvey,atom-xtext-package,0.0
LolloCorte,bpel-xtext,0.0
sciolizer,xtext-sandbox,-10.0
denschu,xtext-whitespace,-28.0
pablitar,claseXtext,0.0
DECENTSoftwareAssessment,famix.m3x.sdk,0
tdegueul,xtext-composition,0.0
danieldietrich,xtext-javatools,0.0
akademia,ontouml-xtext,0.0
efuentesp,codebuilder-xtext,0.0
zrrk,xtext-utils,0
juli1,xtext-debug,-2.0
nbhusare,Xtext-sandbox,0.0
jachinte,xtext-grammars,-5.0
susieagerholm,XTEXT_EXAMPLE,-2.0
itemis,monaco-xtext,0
xiaoyvr,xtext-demo,-8.0
hmc-cs111-fall2015,picobot-XText,-2.0
