Owner,Repo,Ecore File,Containing Folder
MaxiEckert,Xtext-example,masterarbeit_workspace_xtext/de.uka.ipd.sdq.units/Units.ecore,de.uka.ipd.sdq.units
MaxiEckert,Xtext-example,masterarbeit_workspace_xtext/de.uka.ipd.sdq.units/model/Units.ecore,model
MaxiEckert,Xtext-example,masterarbeit_workspace_xtext/edu.kit.ipd.are.dsexplore.featurecompletions/model/featureCompletions.ecore,model
MaxiEckert,Xtext-example,masterarbeit_workspace_xtext/edu.kit.ipd.are.dsexplore.featurecompletions/model/featureObjective.ecore,model
MaxiEckert,Xtext-example,masterarbeit_workspace_xtext/edu.kit.ipd.are.dsexplore.featurecompletions/model/featureSolution.ecore,model
MaxiEckert,Xtext-example,masterarbeit_workspace_xtext/org.palladiosimulator.pcm/model/pcm.ecore,model
MaxiEckert,Xtext-example,masterarbeit_workspace_xtext/org.palladiosimulator.pcm/pcm.ecore,org.palladiosimulator.pcm
as500,xtext-rpgle,not applicable,not applicable
as500,xtext-rpgle,not applicable,not applicable
JavierOramas,AudiXText,not applicable,not applicable
JavierOramas,AudiXText,not applicable,not applicable
xtext,xtext-monorepo,not applicable,not applicable
xtext,xtext-monorepo,not applicable,not applicable
vjordan,Xtext_browser,org.xtext.browser.mydsl/model/generated/MyDsl.ecore,generated
Yop-La,xtext_project,model/generated/Mml.ecore,generated
JesterOrNot,Gitpod-XText,not applicable,not applicable
JesterOrNot,Gitpod-XText,not applicable,not applicable
eclipse,xtext-archive,not applicable,not applicable
eclipse,xtext-archive,not applicable,not applicable
Lethalaric,xtext-learning,not applicable,not applicable
Lethalaric,xtext-learning,not applicable,not applicable
DSIE2,tr.xtext,not applicable,not applicable
DSIE2,tr.xtext,not applicable,not applicable
ShivaniBali,Theia-Xtext,org.xtext.example.mydsl.parent/org.xtext.example.mydsl/model/generated/MyDsl.ecore,generated
kthoms,xtext-webinar,not applicable,not applicable
kthoms,xtext-webinar,not applicable,not applicable
christopherosthues,mgpl-xtext,not applicable,not applicable
christopherosthues,mgpl-xtext,not applicable,not applicable
zhanglin2018,learnXtext,org.example.entities.parent/org.example.entities/model/generated/Entities.ecore,generated
zhanglin2018,learnXtext,org.xtext.example.mydsl.parent/org.xtext.example.mydsl/model/generated/MyDsl.ecore,generated
seebgar,Xtext-Projects,not applicable,not applicable
seebgar,Xtext-Projects,not applicable,not applicable
Vallenstein,xtext_web,not applicable,not applicable
Vallenstein,xtext_web,not applicable,not applicable
AbQadirr,dialogXtextflow,not applicable,not applicable
AbQadirr,dialogXtextflow,not applicable,not applicable
blue995,xtext-orm,not applicable,not applicable
blue995,xtext-orm,not applicable,not applicable
arockiaraj1994,xtext-mvn,org.xtext.example.mydsl/model/generated/MyDsl.ecore,generated
moein9,passXtext,not applicable,not applicable
moein9,passXtext,not applicable,not applicable
saivarunr,xtext-editor,not applicable,not applicable
saivarunr,xtext-editor,not applicable,not applicable
JesterOrNot,xtext-cli,not applicable,not applicable
JesterOrNot,xtext-cli,not applicable,not applicable
Somiacao,xtext-web,not applicable,not applicable
Somiacao,xtext-web,not applicable,not applicable
katmatt,graphql-xtext,not applicable,not applicable
katmatt,graphql-xtext,not applicable,not applicable
LIONant-depot,xtexture_compiler,not applicable,not applicable
LIONant-depot,xtexture_compiler,not applicable,not applicable
tchebs,xtext-example,not applicable,not applicable
tchebs,xtext-example,not applicable,not applicable
ballcoach12,xtext_samples,not applicable,not applicable
ballcoach12,xtext_samples,not applicable,not applicable
AssaX0,MDSE-xtext,eclipse-workspace/org.example.domainmodel/model/generated/Domainmodel.ecore,generated
samples-projects,sample-xtext,not applicable,not applicable
samples-projects,sample-xtext,not applicable,not applicable
karthik137,xtext-demo,org.example.domainmodel/model/generated/Domainmodel.ecore,generated
MDE-Course-23-24,SIRIUS-XTEXT,it.univaq.disim.usecase.statemachine.model/model/statemachine.ecore,model
softlang,megal-xtext,org.softlang.megal/model/Megal.ecore,model
laurocesar,xtext-domainmodel,org.example.domainmodel/model/generated/LanguageName.ecore,generated
Yahaya12,Xtext-project,not applicable,not applicable
Yahaya12,Xtext-project,not applicable,not applicable
malhxr,SpeechXtext,not applicable,not applicable
malhxr,SpeechXtext,not applicable,not applicable
stanimirovv,xtext-extractor,not applicable,not applicable
