owner,repo,repo_first_commit,repo_last_commit,xtext_first_commit,xtext_last_commit,repo_commit_duration,xtext_commit_duration,proportion
yamen-njm,IotXtext,1/9/2019 13:59,1/9/2019 13:59,1/9/2019 13:59,1/9/2019 13:59,0,0,0
kainzpat14,xtext-plsql,2/23/2022 17:14,5/27/2022 17:35,2/23/2022 17:14,5/27/2022 17:35,92,92,100
epsilonlabs,emc-xtext,0,0,0,0,0,0,0
robertovillarejo,kukulkan-grammar,3/2/2018 13:51,7/2/2018 13:07,3/9/2018 11:11,7/2/2018 13:07,121,115,95.04
lvanzeun,ulm-xtext-test,7/24/2018 10:11,8/2/2018 21:45,7/24/2018 10:29,7/27/2018 12:37,9,3,33.33
purerstamp,N7.compilateur,9/7/2018 8:27,3/6/2019 9:37,2/19/2019 9:37,3/6/2019 9:37,180,15,8.33
jaedabee,xtext-gradle-test,0,0,0,0,0,0,0
MassiBelaid,M-langeuse-Xtext,11/29/2020 18:25,11/29/2020 18:34,11/29/2020 18:25,11/29/2020 18:34,0,0,0
qxe35v,xtext_encoding_dsl,3/14/2018 10:30,9/14/2018 18:13,3/14/2018 10:30,5/5/2018 19:52,184,52,28.26
random-eclipse,nix-eclipse-xtext,4/15/2018 19:38,4/29/2018 18:33,4/29/2018 18:33,4/29/2018 18:33,13,0,0
meta-doodle,Xtext_Gradle_Test,2/19/2020 17:02,2/19/2020 17:33,2/19/2020 17:22,2/19/2020 17:33,0,0,0
LiamWalsh98,nusmv-xtext-lsp,8/10/2020 17:05,5/24/2022 11:32,8/10/2020 17:05,8/10/2020 17:05,651,0,0
MaximilianKoestler,vscode-xtext-links,0,0,0,0,0,0,0
AhmedEssam2212,xText-Editor-,0,0,0,0,0,0,0
adrinerDP,DSL-with-Xtext,3/22/2023 16:23,3/22/2023 16:23,3/22/2023 16:23,3/22/2023 16:23,0,0,0
cdietrich,xtext-domainmodel-ls,2/10/2023 19:56,2/10/2023 19:56,2/10/2023 19:56,2/10/2023 19:56,0,0,0
tmtron,ex.xtext.ml,2/26/2018 9:47,2/26/2018 17:55,2/26/2018 10:40,2/26/2018 14:16,0,0,0
andrewsandu,xtext-web-example,7/27/2018 11:20,7/27/2018 11:20,7/27/2018 11:20,7/27/2018 11:20,0,0,0
pngowda,xtext-build-tools,0,0,0,0,0,0,0
SharkJ,xtext-dsl-sample,11/30/2018 15:12,11/30/2018 15:12,11/30/2018 15:12,11/30/2018 15:12,0,0,0
hammedb197,team-hacktive-xtext,0,0,0,0,0,0,0
SimonCockx,xtext-monaco-example,10/31/2022 12:54,11/1/2022 14:20,11/1/2022 13:50,11/1/2022 13:50,1,0,0
mister-walter,xtext-folding-issue,10/23/2023 12:34,10/23/2023 12:34,10/23/2023 12:34,10/23/2023 12:34,0,0,0
