Owner,Repo,Ecore File Count
mark-christiaens,Xtext-Models-Stats-View,0
TypeFox,xtext-jflex,0
vorburger,eclipse-typescript-xtext,0
patrickneubauer,XMLText,0
xtext,org.xtext.antlr.generator,0
boalang,xtext-ide,0
nittka,terminology,0
veraPDF,veraPDF-model-syntax,0
TypeFox,languageserver-example,0
Hellmy,plantuml-eclipse-xtext,0
stephanrauh,JSFLibraryGenerator,1
loonwerks,jkind-xtext,1
TatyPerson,Xtext2Sonar,0
TypeFox,xtext-vscode,0
svenefftinge,Xtext-Workshop-Development-Workspace,0
cdietrich,xtext-uml-example,1
cdietrich,xtext-maven-example,1
marklemay,tptpParser,0
borgar,xtexts,0
uqbar-project,xtext-tortuga-lang,1
dslmeinte,Xtext1-DSLs,0
applause,applause,1
LorenzoBettini,ecefrance2015-xtext-example,0
jcmm33,DirectXTextBlock,0
dhuebner,xtext-apidiff,0
appdev,XTextView,0
oehme,xtext-maven-example,2
SMadani,ThriftMDE,1
xtext,xtext-external-editors,0
itemis,xtext-generator-vscode,1
soluvas,ecommerce-sample,0
tianguanghui,xTextHandler-objc,0
meysholdt,xtext_stateful_lexer,0
holgerschill,XtextCon_Xcore_Maven,3
scottopell,vim-xtext,0
itemis,xtext-debug-example-no-xbase,0
TypeFox,Xtext-XMI,1
joergreichert,XtextPlayground,0
wuwen1030,XTExtension,0
fuinorg,org.fuin.dsl.cqrs,1
JanKoehnlein,EclipseCon2013_XtextTutorial,1
avaranovich,megal-xtext,1
fuinorg,org.fuin.dsl.ddd,0
arturboronat,xtext.domainmodel,1
otrosien,xtext-perl,1
cmendible,Hexa.xText,0
SciSpike,yaktor-dsl-xtext,6
andrearn,org.fornax.soa.xtextservicerepository,4
ujhelyiz,xtext-reflective,0
szarnekow,xtextcon-xbase-example,1
bsi-software,org.eclipse.scout.xtext,1
cdietrich,xtext-languageserver-xbase-example,0
test-editor,deprecated-test-editor-xtext,0
awk-kazmin,eclipse_1C_xtext,2
svenefftinge,fowlers-statemachine-with-expressions,1
copton,XTextExamples,1
GeekBugs,XTextView,0
akosyakov,org.xtext.example.mydsl.idea,3
vaulttec,isis-script,0
HBehrens,Xtext2Workshop,0
GrupoHunter,Kukuroo,1
itemis,xtext-languageserver-example-lsp4e,0
fatalerrortan,Xtext_Xtend_HTML_Generator,1
spoenemann,xtext-gef,1
Minres,RDL-Editor,0
svenefftinge,Guice-Modules-DSL,1
LorenzoBettini,jbase,1
mn-mikke,Model-driven-Pretty-Printer-for-Xtext-Framework,7
hishidama,xtext-dmdl-editor,1
cmark,androtext,0
svenefftinge,homeautomation-example,1
SOM-Research,graphQL-xtext-grammar,0
janesser,frege-xtext,0
szarnekow,org.eclipse.e4.xcss,0
LorenzoBettini,xtext-scoping,1
JanKoehnlein,ESE-2010-Tutorial,1
spoenemann,xtext-orion,1
Modaptix,xtext-expressions,1
nittka,Jtag,0
erlide,erlide_xtext,2
cdietrich,xtext-forum-support-example,0
ESIR2Compilation,Langage-WHILE,1
jhonatan89,gen-angular-grammar,1
Sofiane-13,tutorialXtextSirius,0
eclipse-soc,amalgamation-examples,2
dvdkruk,xtext-xsd-resourceprovider,0
marnix,metamath-eclipse-xtext,0
JanKoehnlein,Xtext-Syntax-View,0
planger,xtext-uml-experiment,0
rquinio,ck2xtext,2
mzaks,petrinet_dsl,1
drnappalm,xtext,2
svenefftinge,Xtext-Workshop-Runtime-Workspace,0
martijndwars,XtextXT,0
nahni,xtextTessla,1
baidty,xtextLearning,0
MoayadHn,XtextBDI,1
fzalila,XtextExperiments,1
Girish-Venkatesh,XTextSelenium,1
Vinayakatk,xtextScopes,1
01Lizard10,XTextUML,1
Salome-Maro,XtextUtils,0
fanghuixing,XtextApricot,1
mraminella,xtextTests,0
Alma2015RSABSAWA,XtextLangage,0
myorb,XTextParser,0
Jhinnn,XTextView,0
kathisai,xtextSample,1
huibo-shi,XtextExamples,2
osamu-k,XTextStudy,1
Treehopper,XTextTemplate,0
seba111,Xtext1,1
shinesamjacob,XtextExample,1
ajperalt,xtext,5
schakko,xtext-plugin-with-maven-tycho,0
colameo,xtext4roo,1
vinpereira,XtextToXMI,2
JanKoehnlein,XtextCon2014,0
bink81,xtext-test,0
xtext42,xtext42-coding,0
borisbrodski,XtextBug437519,1
hypery2k,xText,0
borisbrodski,XtextBug453268,1
arnulfo-rodriguez,XtextClosureExample,1
superxlx,XTextViewDemo,0
johnBened,XtextMyDSLExample,0
philiber92,XtextTestRepository,1
fabienfleureau,XtextAtStackoverflow,0
yunxiaocloud,XTextFieldLimtDemo,0
eclipse,xtext-gradle,0
Mensmec,THESIS_XTEXT,0
MacJariel,sandbox-dsl,1
chetanladdha,XtextFormatingHoverSample,0
ainslec,XTextCustomLexerExample,1
hem28,DSL_Xtext2.3,1
HBuender,XtextAndSiriusIntegration,1
meysholdt,EclipseCon2014_XtextTutorial,1
jaimedelgado,Xtext,0
chris125964,xtext,0
DonRenando,xtext,1
martijndwars,Xtext,0
ozkandemir,XText,1
johnahfong,xtext,3
Mensmec,Xtext,0
pellcorp,xtext,1
Tutti91,Xtext,1
ANCIT,xtext-examples,1
DECENTSoftwareAssessment,dag.m1x,0
rmemory,xtext,4
deb-sandeep,com.sandy.xtext.jovenotes.tests,0
yasuohosotani,Xtext,0
Nika24,Xtext,1
BenediktNiehues,de.nie.fin,2
AlexElvers,XText,0
lakzso,xtext,0
seba111,Xtext,1
MacJariel,xtext,0
tmtron,xtext.15minTutorial,0
blewis13,Boxes,1
DECENTSoftwareAssessment,famix.m3x,0
dslmeinte,SimScript,0
webdaford,aqleditor,0
goldschmiede,2012-02-03_dsls_mit_xtext,4
kthoms,org.eclipse.xtext.example.domainmodel,0
Reitzner,xtextmaven,1
hectorsun,xtextonboost,0
duck2,xtextbg,0
HolyCityAudio,SpinCAD-Builder,2
ceefour,glproto,1
DECENTSoftwareAssessment,dag.m1x.tests,0
gvd,xtext-sm,1
davidmpaz,php.ware.web.ui,0
DanielWeber,xtextext,0
fzalila,xtextfsm,1
DECENTSoftwareAssessment,dag.m1x.sdk,0
jgoppert,xmodelica,1
Vinayakatk,xtextgeneratetest,0
deb-sandeep,com.sandy.xtext.jovenotes,1
DECENTSoftwareAssessment,dag.m1x.ui,0
viatra,viatra-evm-xtext,1
protossoftware,ReqText,1
meysholdt,e4dsl,1
benzait27,Xtext.Promo,1
malakeel,myDsl,1
npalix,org.eclipse.xtext.example.arithmetics,0
sormgabriel,textual_verduler,0
ekowahyudi,examplextext,0
DECENTSoftwareAssessment,famix.m3x.ui,0
nakul02,sialx-xtext-ide,0
kduske-n4,DomainModel,1
Infoly,SmallJava,0
inakuhn,de.htwg.mdse.setgame.entities.parent,1
mlanoe,x-vhdl,1
DECENTSoftwareAssessment,famix.m3x.tests,0
nkonev,CalcXtext,0
meysholdt,xtext_examples,0
manuelleduc,xtext-lib,0
xarvey,atom-xtext-package,0
LolloCorte,bpel-xtext,4
sciolizer,xtext-sandbox,1
denschu,xtext-whitespace,0
pablitar,claseXtext,2
DECENTSoftwareAssessment,famix.m3x.sdk,0
tdegueul,xtext-composition,2
danieldietrich,xtext-javatools,0
akademia,ontouml-xtext,0
efuentesp,codebuilder-xtext,0
zrrk,xtext-utils,0
juli1,xtext-debug,2
nbhusare,Xtext-sandbox,4
jachinte,xtext-grammars,0
susieagerholm,XTEXT_EXAMPLE,6
itemis,monaco-xtext,0
xiaoyvr,xtext-demo,0
hmc-cs111-fall2015,picobot-XText,0
yanntm,Xtext-Light,0
quendimax,libXtextcursorchanger,0
Ikraminfo,GrammaireXtext,0
nickeeyyoo,xtext_project,1
marinamygithub,xtext_project,1
lukashaertel,xtext-xgen,2
fmca,xtext-typesystem,1
almazhou,xtext-demo,0
Huluvu424242,xtext.example,1
kiddochan,xtext-typesystem,1
mmalohlava,ppXtext,0
ponta027,xtext_practice,1
bhdrkn,Xtext-Examples,2
fatalerrortan,Xtext-examples,0
gcr-nist,runtime-Xtext,0
fBrx,language-xtext,0
ilya-klyuchnikov,sll-xtext,1
vonbolt,Xtext_test,1
rytina,xtext-typesystem,1
philiber92,xtext-utils,0
thomasfischl,xtext-workshop,1
jbadeau,ng-xtext,0
OliverScherf,MGPL-Xtext,0
szarnyasg,gradle-xtext,0
malbac,Xtend_Xtext,1
gitpan,Convert-XText,0
rmemory,xtext_eclipse,0
lukashaertel,xtext-technocat,1
lukashaertel,xtext-xtestgen,1
zhangyuanqiao,selenium-xtext,1
cooked,modelica-xtext,1
pablitar,firewall-xtext,0
hamza-abed,JSEditorXtext,1
Virtlink,paplj-xtext,1
kwanggy,xtext-sublime,0
thicket-lang,thicket-xtext,1
agentlab,xtext-web,3
test-editor,xtext-dropwizard,0
kecskesk,xtext-menetrend,1
ftrifin,xtext-utils,0
scottopell,xtext_utils,0
lukashaertel,xtext-fsml,2
sahrmann,xtext-json,0
Modaptix,xtext-utils,0
itemis,xtext-issues,0
holzem,xtext-lexertrace,1
victorlacorte,Tcc,0
limelanguage,lime-xtext,0
edgarmueller,xtext-recordmapper,1
santoshdeshpande,wwf-xtext,0
MatzeGIT,XText-maven,0
tkurita,XText.scptd,0
t-buss,mgpl_xtext,0
dvdkruk,xtext-workshop,0
npalix,org.xtext.example.mde,0
logicfish,XActiv,1
kittaakos,webcalc,0
evandor,skysail-prototypr-dsl,1
iensen,certware-l-editor,2
vladimirkozhaev,casualintellect_new_wizard,1
TinyScream,org.xtext.amodel,1
M2TIIL2016-2017,SiteWeb_XText,1
schakko,hackcamp-xtext-automotivebus,1
sfinnie,xtext.scoping.adventures,1
jpaw,bonaparte-apidsl,0
rainerschuster,yacc-ide,0
schakko,xtext-bug-436688,1
dhuebner,xtext-builddsl-tycho,0
matejsp,lwc13-xtext,0
ftrifin,xtext-utils.uml,0
mbarbero,xtext-forms-integration,3
FForw4rd,xtext-restriction-framework,1
zrrk,xtext-utils.devenv,0
ftrifin,xtext-utils.xtend,0
svenefftinge,xtext-jaxcon-example,1
LorenzoBettini,xtext-demo-laquila,1
